epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,32.1549,0.75764,0.86598,1.29718,0.7804,0.48333,0.55285,0.30402,1.70391,1.84474,1.41425,2.99772e-05,2.99772e-05,2.99772e-05
55,32.7241,0.6574,1.22618,1.07537,0.7804,0.48333,0.55285,0.30402,1.70391,1.84474,1.41425,2.99066e-05,2.99066e-05,2.99066e-05
56,33.4388,0.8632,0.95686,1.34063,0.7804,0.48333,0.55285,0.30402,1.70391,1.84474,1.41425,2.98125e-05,2.98125e-05,2.98125e-05
57,34.1856,0.72535,0.69024,1.11582,0.77819,0.48333,0.53345,0.28935,1.731,1.88178,1.42451,2.96948e-05,2.96948e-05,2.96948e-05
58,34.776,0.85378,0.67997,1.29934,0.77819,0.48333,0.53345,0.28935,1.731,1.88178,1.42451,2.95535e-05,2.95535e-05,2.95535e-05
59,35.3765,0.96001,0.88,1.15503,0.77819,0.48333,0.53345,0.28935,1.731,1.88178,1.42451,2.93887e-05,2.93887e-05,2.93887e-05
60,35.9869,0.78063,1.18591,1.21401,0.77216,0.48333,0.52967,0.2749,1.72742,1.89944,1.41917,2.92003e-05,2.92003e-05,2.92003e-05
61,36.6145,0.76785,0.88702,1.01985,0.77216,0.48333,0.52967,0.2749,1.72742,1.89944,1.41917,2.89884e-05,2.89884e-05,2.89884e-05
62,37.2863,0.57203,0.65071,0.97875,0.77216,0.48333,0.52967,0.2749,1.72742,1.89944,1.41917,2.87529e-05,2.87529e-05,2.87529e-05
63,38.1235,0.8747,1.47161,1.31677,0.77629,0.48333,0.51924,0.26599,1.72134,1.95806,1.42277,2.84938e-05,2.84938e-05,2.84938e-05
64,38.7005,0.78153,0.78956,1.22492,0.77629,0.48333,0.51924,0.26599,1.72134,1.95806,1.42277,2.82112e-05,2.82112e-05,2.82112e-05
65,39.3013,0.74831,0.81134,1.16735,0.77629,0.48333,0.51924,0.26599,1.72134,1.95806,1.42277,2.7905e-05,2.7905e-05,2.7905e-05
66,39.9354,0.76153,1.36725,1.14317,0.78137,0.48333,0.52245,0.26649,1.69213,1.95249,1.41446,2.75753e-05,2.75753e-05,2.75753e-05
67,40.4893,0.80437,1.26435,1.22391,0.78137,0.48333,0.52245,0.26649,1.69213,1.95249,1.41446,2.7222e-05,2.7222e-05,2.7222e-05
68,41.1931,0.80564,0.99265,1.13582,0.78137,0.48333,0.52245,0.26649,1.69213,1.95249,1.41446,2.68451e-05,2.68451e-05,2.68451e-05
69,41.8381,0.87117,0.9183,1.21478,0.77904,0.48333,0.52084,0.25427,1.69308,1.96454,1.41122,2.64447e-05,2.64447e-05,2.64447e-05
70,42.4328,0.68561,0.6796,1.04687,0.77904,0.48333,0.52084,0.25427,1.69308,1.96454,1.41122,2.60207e-05,2.60207e-05,2.60207e-05
71,43.037,0.73902,0.70773,1.1135,0.77904,0.48333,0.52084,0.25427,1.69308,1.96454,1.41122,2.55731e-05,2.55731e-05,2.55731e-05
72,43.658,0.54622,0.71478,1.0465,0.78148,0.48333,0.5207,0.24758,1.68027,2.02074,1.41107,2.5102e-05,2.5102e-05,2.5102e-05
73,44.2558,0.80226,0.75136,1.19454,0.78148,0.48333,0.5207,0.24758,1.68027,2.02074,1.41107,2.46073e-05,2.46073e-05,2.46073e-05
